Pto. El Espinillo	埃尔埃斯皮尼约村
Ea. Las Mercedes	拉斯梅尔塞德斯庄园
Ea. Sta. Catalina	卡塔利娜小姐庄园
El Cogoik	埃尔科戈伊克村
Ea. Libertad	利韦尔塔德庄园
Pto. La Bolsa	拉博尔萨村
Ea. María Elvira	玛利亚埃尔维拉庄园
Lag. Wiralaé	威拉莱湖
R. Porteño	波尔特尼奥河
Santa Ana	圣安娜村
Ea. Sta. María	玛利亚小姐庄园
Ero. Chiquichi	奇基奇湖
Ea. La Bella	拉贝亚庄园
Ero. Yampatargui	扬帕塔尔吉湖
Ea. La Victoria	拉维多利亚庄园
Pto. Guyrá Ganí	古伊拉加尼村
Urbana Vieja	旧乌尔瓦纳村
Ea. Victoria	维多利亚庄园
Ea. Yagalaé	亚加拉埃庄园
Cnia. Nueva	努埃瓦移民村
Cnia. Tajerey	塔赫雷移民村
Ea. San Julián	圣胡利安庄园
Va. Grl. M. Belgrano	贝尔格拉诺将军村
Cnia Cattáneo Cué	卡特塔内奥库埃移民村
Lag. Antola	安托拉湖
A. Monte Lindo	蒙特林多溪
Ero. Pegalda	佩加尔达湖
Ea. J. Boryaile	博尔亚伊莱庄园
Los Suspiros	洛斯苏斯皮罗斯村
Ea. 10 de Mayo	5月10日庄园
El Oculto	埃尔奥库尔托村
Legua A	莱瓜A村
Bruchard	布鲁查尔德村
Cnia La Juanita	拉华尼塔移民村
Cnia. Isla Sola	伊斯拉索拉移民村
Cnia. Siete Quebrachos	谢特克夫拉乔斯移民村
Ibarreta	伊瓦雷塔村
Bdo. Salado o Pedroso	萨拉多峡谷（佩德罗索峡谷）
Cnia. 8 de Septiembre	9月8日移民村
Ea. San José	圣何塞庄园
Cnia. Tatané	塔塔内移民村
Ea. Treinta y Tres	三十三人庄园
Cnia. Santoro	桑托罗移民村
Pto. Caminero	卡米内罗村
Ea. A. Canesín	阿罗约卡内辛庄园
Ea. J. Cappello	卡普佩约庄园
Cnia Reconquista	雷孔基斯塔移民村
Comandante Fontana	科曼丹特丰塔纳市
Pte. Municipal	穆尼西帕尔山口
Pte. del Indio	因迪奥山口
Cnia Aborígen Bartolomé de las Casas	阿沃里亨巴尔托洛梅-德拉斯卡萨斯移民村
Bartolomé de las Casas	巴尔托洛梅-德拉斯卡萨斯镇
Ea. Buena Vista	布埃纳比斯塔庄园
Cnia Los Tres Reyes	洛斯-特雷斯-雷耶斯移民村
Ea. El Estanque	埃尔埃斯坦克庄园
Rincón	林孔村
Florido	弗洛里多村
Loma Clavel	洛马克拉韦尔村
A. Saladillo o Carabina	萨拉迪约溪（卡拉维纳溪）
Ea. La Dorila	拉多里拉庄园
Cnia. Alto Alegre	阿尔托阿莱格雷移民村
Pto. Granja	格兰哈村
Ea. Luna	卢纳庄园
Rcho. Saladillo	萨拉迪约溪
Pto. El Cañón	埃尔卡尼翁村
Pto. Bichadero	比查德罗村
Cnia. Murúa	穆鲁阿移民村
El Coatí	埃尔科阿蒂村
San Jacinto	圣哈辛托村
Ea. El Bellaco	埃尔贝亚科庄园
R. Bermejo	贝尔梅霍河
A. Bellaco	贝亚科溪
El Perdido	埃尔佩尔迪多村
Ea. Bañadero	巴尼亚德罗庄园
A. Dobagan	多瓦甘溪
Ea. Tapikiolé	塔皮基奥莱庄园
Lag. Satali	萨塔利湖
El Recreo	埃尔雷克雷奥村
Ea. La Perla	拉佩尔拉庄园
Talú Piré	塔卢皮雷村
Bdo. Pargandi	帕尔甘迪峡谷
Pto. Polvorín	波尔沃林村
Puesto San Antonio	圣安东尼奥村
Pto. Rancho Alegre	兰乔阿莱格雷村
A. Tatú Piré	塔图皮雷溪
Ero. El Tacuruzal	埃尔塔库鲁萨尔湖
Cnia Va. Rica	里卡移民村
Rcho. Pilagá	皮拉加溪
Bdo. Grande	格兰德峡谷
Ero. Valor	巴罗尔湖
Pto. 3 de Febrero	2月3日村
Ero. Guazú	瓜苏湖
Puntas de Masap	蓬塔斯德马萨普河
Eo. Bacaldá	巴卡尔达
Ea. Agua Dulce	阿瓜杜尔塞庄园
Ea. Mira-Sal	米拉萨尔庄园
Cnia. Tres Lagunas	特雷斯拉古纳斯移民村
Ea. Las Marías	拉斯玛利亚斯庄园
Lag. de los Ciervos	谢尔沃斯湖
Ea. La Leonor	拉莱奥诺尔庄园
Lag. La Leonor	拉莱奥诺尔湖
Lag. Las Conchas	拉斯孔查斯湖
A. Guaycurú Chico	小瓜伊库鲁湖
Presidencia Roca	普雷斯登西亚-罗卡村
R. de Oro	奥罗河
Establ. Media Luna	埃斯塔夫莱西缅托-梅迪亚-卢纳村
Cnia. Dorrego	多雷戈移民村
Ea. La Unión	拉乌尼翁庄园
Cnl. Cpo. Vita	坎波比塔运河
Alm. El Tropezón	埃尔特罗佩松仓库
R. Pilcomayo (Brazo Sur)	皮尔科马约河（南布拉索河）
Pte. Internacional Juan D. Perón	胡安佩龙国际桥
Ea. Misión Vieja	旧米西翁庄园
Misión Tacaaglé	米西翁-塔卡阿格莱镇
A. Masap	马萨普溪
A. Chagaday	查加代溪
Ero. Gueruti	格鲁蒂湖
El Garzal	埃尔加尔萨尔
Pto. San José	圣何塞村
Ea. Mborevi	姆沃雷维庄园
Lag. Chaia	查亚湖
Ea. Va. María	玛利亚庄园
Ero. Pigho Chico	小皮格奥湖
Pto. Las Mercedes	拉斯梅尔塞德斯村
Pto. San Jorge	圣豪尔赫村
Ea. María Kun	玛利亚昆庄园
Pto. San Martín	圣马丁村
Isla Toldo	伊斯拉托尔多村
Lag. Ceibo	塞沃湖
Lag. Carpincho	卡尔平乔湖
Ero Carpincho	卡尔平乔湖
Pte. del Yacaré	亚卡雷山口
Ero Yacaré	亚卡雷湖
Establ. El Palomar	埃斯塔夫莱西缅托-埃尔帕洛马尔村
Abra Pindó	阿夫拉平多村
Los Matacos	洛斯马塔科斯村
Pto. Campo Alegre	坎波阿莱格雷山口
Rcho Monte Lindo Grande	大蒙特林多溪
Obraje Carrizo	奥夫拉赫卡里索村
La Loma	拉洛马村
Ero Aguara	阿瓜拉湖
Rcho. Negro	内格罗溪
Racedo Escobar	拉塞多-埃斯科瓦尔村
Ero. Pylá	皮拉湖
Ero. Iberá	伊韦拉湖
Ero. Saa-ra	萨阿拉湖
Palo Santo	帕洛桑托村
Estero Patiño	埃斯特罗-帕蒂尼奥村
Ero. Abatí Igué	阿瓦蒂伊格湖
Ero. Me-í	梅伊湖
Ero Sánchez	桑切斯湖
Ero Apazu-zú	阿帕苏苏湖
Bdo Cambá	坎巴峡谷
Ero Socorro	索科罗湖
Ero Treinta y Cuatro	三十四人湖
Ea. La Carolina	拉卡罗利纳庄园
Ea. Traquetti	特拉克蒂庄园
Ea. El Tigre	埃尔蒂格雷庄园
Ero. Cigüeña	锡圭尼亚湖
Ero. Pirané	皮拉内湖
Lag. Pirané	皮拉内湖
Cnia. Potrero Norte	北波特雷罗移民村
Campo Reserva Zapla de Fabricaciones Militares	萨普拉军事生产保护区
Cnia. La Disciplina	拉迪斯西普利纳移民村
Pirané	皮拉内市
Ea. Elías	埃利亚斯庄园
Cnia. Costa Palmar	科斯塔帕尔马尔移民村
Cnia. Loma Sené	洛马塞内移民村
Rincón Ñaró	林孔尼亚罗村
Obraje Eschochen	奥夫拉赫-埃斯乔琴村
A. Magaik Chico	小马盖克溪
Rcho. Magaik	马盖克溪
Ero Gallego	加耶戈湖
Rcho. San Juan	圣胡安溪
Pto. La Dora	拉多纳村
Ero. Grande	格兰德湖
Pto. El Zorzal	埃尔索尔萨尔村
Ea. San Emilio	圣埃米利奥庄园
Ea. El Magaik	埃尔马盖克庄园
Pto. Soledad	索莱达德村
Ea. Acosta	阿科斯塔庄园
Ea. Maciel	马谢尔庄园
Establ.	埃斯塔夫莱西缅托村
Ero. Bellaco	贝亚科湖
Cnia Zapallito	萨帕伊托移民村
Kilómetro 232	232公里村
Kilómetro 224	224公里村
Lag. La Sirena	拉西雷纳湖
Lag. Dorada	多拉达湖
Alm. Itatí	伊塔蒂仓库
Ea. La Josefina	拉霍塞菲纳庄园
Cpo.	坎波村
Arbol Solo	阿尔沃尔索洛村
Ea. Las Cañitas	拉斯卡尼塔斯庄园
Cpo. Salchuk	坎波萨尔丘克村
Villa Km. 213.	213公里村
Cnia. Río Negro	内格罗河移民村
Cpo. Perazzo	佩拉索草原
El Rincón	埃尔林孔村
Cpo. F. Ramírez	拉米雷斯草原
Colonia Campo Villafañe	坎波比亚法尼移民村
Ea. La Emilia	拉埃米利亚庄园
Pilagás III	皮拉加斯三世村
Pto. La Tomasa	拉托马萨村
Mula Lachi	穆拉拉奇
Ea. Rolón	罗隆庄园
Ea. Princich	普林西奇庄园
El Quebranto	埃尔克夫兰托村
Pto. El Embolsado	埃尔恩博尔萨多村
Lag. Malalai	马拉莱湖
Lag. Los Patos	洛斯帕托斯湖
Cnia. El Olvido	埃尔奥尔维多移民村
Ea. Rodglan	罗德格兰庄园
Cnia. Esperanza	埃斯佩兰萨移民村
Cnia. El Gato	埃尔加托移民村
Pto. Los Patos	洛斯帕托斯村
Alm. La Ruta	拉鲁塔仓库
Gran Guardia	大瓜尔迪亚村
Lag. Caballero	加瓦耶罗湖
Ero. Nutria	努特里亚湖
Pto. Pilagá	皮拉加村
Monte Caballero	加瓦耶罗山
Est. Los Pilagás	洛斯皮拉加斯车站
Cnia. Ituzaigó	伊图赛戈移民村
Rincón Ñandú	林孔尼扬杜村
Cnia. Preste. Yrigoyen	伊里戈延总统移民村
Ea. El Ombú	埃尔翁布庄园
Ea. Toldo Cué	托尔多库埃庄园
Ero. Bacaldá	巴卡尔达湖
Pto. La Elida	拉埃利达村
Cnia Isla Azul	伊斯拉阿苏尔移民村
Cnia. Sta. Rosa	罗莎小姐移民村
Portín Negro	波尔延内格罗村
El Espinillo	埃尔埃斯皮尼约市
Apayerey	阿帕耶雷村
Ea. San Rafael	圣拉斐尔庄园
Ero. Curupi Caluú	库鲁皮卡卢乌湖
Buena Vista	布埃纳比斯塔镇
Ea. San Jerónimo	圣赫罗尼莫庄园
Segundo Punta	塞贡多蓬塔村
Cnia. Va. Real	雷阿尔移民村
Rcho. Eh Eh	埃埃溪
Lag. Canaglé	卡纳格莱湖
Rcho. Porteno	波尔特诺溪
Pto. Curupá	库鲁帕村
Ea. Bella Vista	贝亚比斯塔庄园
Punta Porá	蓬塔波拉村
Ero Cooinak	科奥伊纳克湖
Tres Lagunas	特雷斯拉古纳斯湖
Tres Lagunas	特雷斯拉古纳斯镇
Ea. Vidal	比达尔庄园
Ea. Ana Cuá	安娜夸庄园
Laguna Gallo	拉古纳加约村
Pto. León	莱昂村
Ea. San Benito	圣贝尼托庄园
Pto. Candelaria	坎德拉里亚村
Ero Pighó	皮戈湖
Rcho. Monte Lindo Grande	大蒙特林多溪
Ea. Cnl. Lamadrid	拉马德里德运河庄园
Pto. Sta. María	玛利亚小姐村
Pto. La Victoria	拉维多利亚村
Pto. San Luis	圣路易斯村
Juntas de Fontana u Horqueta	丰塔纳村（奥尔克塔村）
Pto. Elvira	埃尔维拉村
Ea. Quebrachal	克夫拉乔尔庄园
Po. La Zanjita	拉桑希塔村
Ero. Guazú	瓜苏河口
Po. Curuzú	库鲁苏河口
Pto. Tres Marías	特雷斯玛利亚斯村
Ero. Buena Vista	布埃纳比斯塔湖
Ea. Quebrachal	克夫拉查尔庄园
Parque Nacional Río Pilcomayo	皮尔科马约河国家公园
Ea. Yaguareté	亚瓜雷特庄园
Ero. Tranquerilla	特兰克里亚湖
Ea. Curupayty	库鲁派蒂庄园
Laguna Blanca	布兰卡湖村
Primera Punta	普里梅拉蓬塔村
Sol de Mayo	索尔德马约村
Siete Palmas	谢特帕尔马斯镇
Ero. Blanca	布兰卡湖
Ero. Abadie	阿瓦迭湖
Lag. Primavera	普里马韦拉湖
Cnia. Aborígen La Primavera	拉普里马韦拉原始移民村
Laguna Naick-Neck	拉古纳奈克内克村
Lag. Chiquichilá	奇基奇拉湖
Lucero Cué	卢塞罗夸村
Ea. El Seis	埃尔塞斯庄园
Loma Hermosa	洛马埃尔莫萨村
Riacho He-He	埃埃溪
Ea. J. Bobadilla	博瓦迪亚庄园
Ero. Coinak	科伊纳克湖
Loma Ivytú	洛马伊维图村
Ero. Martínez	马尔蒂内斯湖
Toro Paso	托罗帕索
Pto. Nueva Morada	努埃瓦莫拉达村
Pto. Isla Negra	伊斯拉內格拉村
Pto. Tranquerita	特兰克里塔村
Ea. San Juan	圣胡安庄园
Ea. Fernández	费尔南多庄园
Pto. El Seis	埃尔塞斯村
Monte Lindo Chico	小林多山
Ero. Horqueta	奥尔克塔湖
Rcho. Monte Lindo Chico	小林多山溪
Ea. Monte Lindo	林多山庄园
Pto. Esperanza	埃斯佩兰萨村
Ero. Hu	乌湖
Rcho. Monte Lindo Grande	大林多山溪
Rcho. Inglés Chico	小因格莱斯溪
Ero. Inglés	因格莱斯湖
Rcho. Malvinas o Aguaray	马尔维纳斯溪（阿瓜赖溪）
Pto. Vista Alegre	比斯塔阿莱格雷村
Ea. San Andrés	圣安德烈斯庄园
Pto. Anrora	安罗拉村
Ea. La Elisa	拉埃利萨庄园
San Juan	圣胡安村
El Paraíso	埃尔帕莱索村
Palma Sola	帕尔马索拉镇
Ea. San Germán	圣赫尔曼庄园
Rcho. Porteño	波尔特尼奥溪
Ea. de Oro	奥罗庄园
Ero. Isla Leona	伊斯拉莱奥纳湖
Isla Leona	伊斯拉莱奥纳村
Puente Internacional San Ignacio de Loyola	圣伊格纳西奥-德洛约拉国际桥
Ero. Moscarda	莫斯卡尔达湖
Ero. Cuazú Virá	夸苏比拉湖
Aeródromo Clorinda	克洛林达机场
Clorinda	克洛林达市
Ea. La Golondrina	拉戈隆德里纳庄园
Isla Florida	伊斯拉夫洛里达
Puerto Pilcomayo	普埃尔托-皮尔科马约镇
Ea. La Armonía	拉阿尔莫尼亚庄园
Tororó(Par)	托罗洛（巴拉圭）
Bouvier	博维耶尔
Pto. San Juan	圣胡安村
Pto. Granadero	格拉纳德罗村
Riacho Negro	内格罗镇
Rcho. Granadero	格拉纳德罗溪
Ero. Invernada	因贝尔纳达湖
Isla Negra	伊斯拉內格拉
Pto. Invernada	因贝尔纳达村
Pto. Curupayty	库鲁派蒂村
Rcho. Salvación	萨尔瓦西翁溪
Ero. Servando	塞尔万多湖
Pto. Isla Leona	伊斯拉莱奥纳村
Villeta	比耶塔
Pto. Boquerón	博克龙村
Pte. Yaguareté	亚瓜雷特河口
Pto. Varrerita	巴雷里塔村
Rcho. Zanjón	桑洪溪
Pto. Nandú	楠杜村
Pt. Factura	法克图拉港口
Rcho. Itá Pirú	伊塔皮鲁溪
A. Soto	索托溪
I. Ita-Pirú	伊塔皮鲁岛
I. Sta. Rosa	罗莎小姐岛
I. Laguna(Par)	拉古纳岛（巴拉圭）
Ea. San Carlos	圣卡洛斯庄园
Pt. Alicia	阿利西亚港口
Cancha Mercedes	梅尔塞德斯河
I. Paray	帕赖岛
I. Lobato	洛瓦托岛
Pto. Buena Vista	布埃纳比斯塔村
Ero. Apazu-zú	阿帕苏苏湖
Pto. La Aurora	拉奥罗拉村
Ea. Alegría	阿莱格里亚庄园
Pto. Nutria	努特里亚村
Pto. Las Palmas	拉斯帕尔马斯村
San Hilario	圣伊拉里奥镇
A. González	冈萨雷斯溪
A. San Hilario	圣伊拉里奥溪
Ero. Gallego	加耶戈湖
El Fiscal	埃尔菲斯卡尔
Mariano Boedo	马里亚诺博埃多镇
Pto. Primavera	普里马韦拉村
Cnia. Pastoril	帕斯托里尔移民村
Pto. Seccíon San Nicolás	塞克西翁-圣-尼古拉斯村
Pto. San Carlos	圣卡洛斯村
Pto. Tres Esquinas	特雷斯-埃斯基纳斯村
Ea. de los Santos	桑托斯庄园
Establ. El Peligro	埃斯塔夫莱西缅托-埃尔佩利格罗村
Ero. Apazu-lu	阿帕苏卢湖
Pto. La Esperanza	拉埃斯佩兰萨村
Pto. Velorio	贝洛里奥村
Rcho. Bracht	布拉奇特溪
Bdo. La Emilia	拉埃米利亚峡谷
Rcho. Mercedes	梅尔塞德斯溪
Rcho. Timbó Pora	延博波拉溪
Lag. Paloma	帕洛马湖
Lag. Poná	波纳湖
Lag. Brava	布拉瓦湖
Rcho. Guaycolec	瓜伊科莱克溪
Ero. El Triángulo	埃尔特里安古洛湖
Rcho. Piragá	皮拉加溪
Pto. El Perdido	埃尔佩尔迪多村
Pto. El Triángulo	埃尔特里安古洛村
Pto. Don Teo	唐特奥村
Ea. El Triángulo	埃尔特里安古洛庄园
Ea. Guaycolec	瓜伊科莱克庄园
Ea. Zanín	萨宁庄园
Pto. Bardella	巴尔德亚村
Cnia Tres Horquetas	特雷斯-奥尔克塔斯移民村
Formesa	福尔梅萨市
Pto. La Querenciua	拉克伦西瓦村
Puente Perdido	蓬特佩尔迪多
Pto. Molino	莫利诺村
Mojón de Fierro	莫洪德菲耶罗镇
Pilagá	皮拉加村
Lag. Ninfa	宁法湖
Pto. San Alberto	圣阿尔韦托村
Pte. Poi	波伊河口
Ero Poi	波伊湖
Lag. Anchorena u Orange	安乔雷纳湖（奥兰赫湖）
Cnia. Dalmacia	达尔马西亚移民村
Ea.	庄园
I. Miní	米尼岛
I. Sepultura	塞普尔图拉岛
I. Oliva (Par)	奥利瓦岛（巴拉圭）
Pto. Francesa Cué	弗兰塞萨夸村
Ea. A. Danieri	阿罗约达涅里庄园
República del Paraguay	巴拉圭共和国
República Federativa del Brasil	巴西联邦共和国
Río Paraná	巴拉那河
A. Yasú Argentino	亚苏阿尔亨蒂诺溪
Embalse Urugua-i	乌鲁瓜伊水库
Cataratas del Iguazú	伊瓜苏瀑布
A. Central	森特拉尔溪
Corredera Irene	科雷德拉伊雷内河
A. Santo Domingo	圣多明各溪
A. Carpincho	卡尔平乔溪
Río Iguazú	伊瓜苏河
Salto Reunión	萨尔托雷乌尼翁瀑布
A. Yacuy	亚奎溪
A. Urugyaí o Granae	乌鲁格亚伊溪（格拉奈溪）
